facility_id,weekday,hour_start,hour_end,capacity_loads
FAC-SAV-001,MON-FRI,06:00,07:00,5
FAC-SAV-001,MON-FRI,07:00,08:00,5
FAC-SAV-001,MON-FRI,08:00,09:00,5
FAC-SAV-001,MON-FRI,09:00,10:00,5
FAC-SAV-001,MON-FRI,10:00,11:00,5
FAC-SAV-001,MON-FRI,11:00,12:00,5
FAC-SAV-001,MON-FRI,12:00,13:00,5
FAC-SAV-001,MON-FRI,13:00,14:00,5
FAC-SAV-001,MON-FRI,14:00,15:00,5
FAC-SAV-001,MON-FRI,15:00,16:00,5
FAC-SAV-001,MON-FRI,16:00,17:00,5
FAC-SAV-001,MON-FRI,17:00,18:00,5
FAC-SAV-001,MON-FRI,18:00,19:00,5
FAC-SAV-001,MON-FRI,19:00,20:00,5
FAC-LAX-002,MON-FRI,06:00,07:00,7
FAC-LAX-002,MON-FRI,07:00,08:00,7
FAC-LAX-002,MON-FRI,08:00,09:00,7
FAC-LAX-002,MON-FRI,09:00,10:00,7
FAC-LAX-002,MON-FRI,10:00,11:00,7
FAC-LAX-002,MON-FRI,11:00,12:00,7
FAC-LAX-002,MON-FRI,12:00,13:00,7
FAC-LAX-002,MON-FRI,13:00,14:00,7
FAC-LAX-002,MON-FRI,14:00,15:00,7
FAC-LAX-002,MON-FRI,15:00,16:00,7
FAC-LAX-002,MON-FRI,16:00,17:00,7
FAC-LAX-002,MON-FRI,17:00,18:00,7
FAC-LAX-002,MON-FRI,18:00,19:00,7
FAC-LAX-002,MON-FRI,19:00,20:00,7
FAC-CHI-003,MON-FRI,06:00,07:00,6
FAC-CHI-003,MON-FRI,07:00,08:00,6
FAC-CHI-003,MON-FRI,08:00,09:00,6
FAC-CHI-003,MON-FRI,09:00,10:00,6
FAC-CHI-003,MON-FRI,10:00,11:00,6
FAC-CHI-003,MON-FRI,11:00,12:00,6
FAC-CHI-003,MON-FRI,12:00,13:00,6
FAC-CHI-003,MON-FRI,13:00,14:00,6
FAC-CHI-003,MON-FRI,14:00,15:00,6
FAC-CHI-003,MON-FRI,15:00,16:00,6
FAC-CHI-003,MON-FRI,16:00,17:00,6
FAC-CHI-003,MON-FRI,17:00,18:00,6
FAC-CHI-003,MON-FRI,18:00,19:00,6
FAC-CHI-003,MON-FRI,19:00,20:00,6
FAC-DAL-004,MON-FRI,06:00,07:00,6
FAC-DAL-004,MON-FRI,07:00,08:00,6
FAC-DAL-004,MON-FRI,08:00,09:00,6
FAC-DAL-004,MON-FRI,09:00,10:00,6
FAC-DAL-004,MON-FRI,10:00,11:00,6
FAC-DAL-004,MON-FRI,11:00,12:00,6
FAC-DAL-004,MON-FRI,12:00,13:00,6
FAC-DAL-004,MON-FRI,13:00,14:00,6
FAC-DAL-004,MON-FRI,14:00,15:00,6
FAC-DAL-004,MON-FRI,15:00,16:00,6
FAC-DAL-004,MON-FRI,16:00,17:00,6
FAC-DAL-004,MON-FRI,17:00,18:00,6
FAC-DAL-004,MON-FRI,18:00,19:00,6
FAC-DAL-004,MON-FRI,19:00,20:00,6
FAC-NWK-005,MON-FRI,06:00,07:00,4
FAC-NWK-005,MON-FRI,07:00,08:00,4
FAC-NWK-005,MON-FRI,08:00,09:00,4
FAC-NWK-005,MON-FRI,09:00,10:00,4
FAC-NWK-005,MON-FRI,10:00,11:00,4
FAC-NWK-005,MON-FRI,11:00,12:00,4
FAC-NWK-005,MON-FRI,12:00,13:00,4
FAC-NWK-005,MON-FRI,13:00,14:00,4
FAC-NWK-005,MON-FRI,14:00,15:00,4
FAC-NWK-005,MON-FRI,15:00,16:00,4
FAC-NWK-005,MON-FRI,16:00,17:00,4
FAC-NWK-005,MON-FRI,17:00,18:00,4
FAC-NWK-005,MON-FRI,18:00,19:00,4
FAC-NWK-005,MON-FRI,19:00,20:00,4
FAC-PHX-006,MON-FRI,06:00,07:00,4
FAC-PHX-006,MON-FRI,07:00,08:00,4
FAC-PHX-006,MON-FRI,08:00,09:00,4
FAC-PHX-006,MON-FRI,09:00,10:00,4
FAC-PHX-006,MON-FRI,10:00,11:00,4
FAC-PHX-006,MON-FRI,11:00,12:00,4
FAC-PHX-006,MON-FRI,12:00,13:00,4
FAC-PHX-006,MON-FRI,13:00,14:00,4
FAC-PHX-006,MON-FRI,14:00,15:00,4
FAC-PHX-006,MON-FRI,15:00,16:00,4
FAC-PHX-006,MON-FRI,16:00,17:00,4
FAC-PHX-006,MON-FRI,17:00,18:00,4
FAC-PHX-006,MON-FRI,18:00,19:00,4
FAC-PHX-006,MON-FRI,19:00,20:00,4
